time,tx_x,tx_y,tx_z,rx_x,rx_y,rx_z,horizontal_range,transmission_loss_db
0.4,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.41,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.42,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.43,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.44,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.45,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.46,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.47,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.48,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.49,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.5,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.51,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.52,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.53,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.54,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.55,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.56,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.5700000000000001,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.58,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.59,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.6,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.61,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.62,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.63,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.64,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.65,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.66,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.67,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.68,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.6900000000000001,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.7000000000000001,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.71,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.72,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.73,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.74,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.75,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.76,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.77,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.78,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.79,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.8,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.81,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.8200000000000001,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.8300000000000001,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.84,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.85,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.86,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.87,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.88,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.89,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.9,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.91,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.92,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.93,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.94,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.95,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.96,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.97,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.98,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
0.99,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.0,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.01,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.02,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.03,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.04,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.05,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.06,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.07,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.08,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.09,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.1,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.11,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.12,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.13,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.14,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.15,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.16,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.17,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.18,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.19,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.2,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.21,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.22,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.23,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.24,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.25,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.26,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.27,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.28,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.29,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.3,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.31,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.32,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.33,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.34,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.35,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.36,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.37,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.38,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.39,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.4,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.41,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.42,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.43,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.44,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.45,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.46,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.47,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.48,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.49,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.5,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.51,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.52,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.53,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.54,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.55,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.56,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.57,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.58,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.59,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.6,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.61,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.62,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.63,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.64,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.65,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.66,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.67,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.68,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.69,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.7,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.71,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.72,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.73,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.74,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.75,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.76,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.77,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.78,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.79,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.8,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.81,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.82,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.83,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.84,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.85,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.86,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.87,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.88,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.89,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.9,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.91,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.92,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.93,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.94,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.95,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.96,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.97,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.98,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
1.99,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
2.0,0.0,0.0,200.0,500.0,0.0,200.0,500.0,0.002200230024755001
